"","Abrothrix.andinus","Abrothrix.lanosus","Abrothrix.longipilis","Abrothrix.manni","Abrothrix.olivaceus","Abrothrix.sanborni","Aconaemys.fuscus","Aconaemys.porteri","Aconaemys.sagei","Akodon.albiventer","Andinomys.edax","Auliscomys.boliviensis","Auliscomys.sublimis","Chelemys.macronyx","Chinchillula.sahamae","Ctenomys.fulvus","Ctenomys.magellanicus","Ctenomys.maulinus","Ctenomys.opimus","Eligmodontia.puerulus","Eligmodontia.typus","Euneomys.chinchilloides","Euneomys.mordax","Geoxus.valdivianus","Irenomys.tarsalis","Loxodontomys.micropus","Mus.musculus","Myocastor.coypus","Octodon.bridgesi","Octodon.degus","Octodon.lunatus","Octodontomys.gliroides","Oligoryzomys.longicaudatus","Phyllotis.darwini","Phyllotis.magister","Phyllotis.xanthopygus","Reithrodon.auritus","Spalacopus.cyanus"
"Eligmodontia typus",26.2140328911887,1.81680351684452,10.0146327592448,10.3754750659776,12.4532224406653,7.92594224793929,14.9480575413879,10.8950855178641,12.2713586514449,30.4087558020617,33.0126962453634,33.0562055962127,30.4114715446467,11.1905105305288,32.9819140703941,28.9213330227122,1.02776742848322,13.4820010057803,29.0767614900969,30.4642330069878,0,3.41110031743058,14.9329538180703,9.835045788534,9.47653193695684,10.0112642372208,20.4837867717903,8.53175184202205,14.1015633039008,18.9113407391984,18.8549384176942,32.3203106990569,10.2824119649247,19.3817516711073,30.8818336240538,24.8773098629221,1.27666086841332,18.6723133764772
"Euneomys chinchilloides",28.7179836045516,1.60347711289872,12.8025700038206,13.321281057618,15.2403052538035,11.0873873763161,17.6306082301008,13.7301359730044,15.1342299196744,32.9002353911374,35.579465713682,35.6235050674453,32.8999862045684,14.0200322371355,35.5469519642891,31.4136351400736,2.77773404999119,16.2062800007859,31.5430268093709,32.9666109892881,3.41110031743058,0,17.5577312754238,12.721922668863,12.4051918199694,12.8365417856826,23.1304236389518,11.4525928781914,16.8759227006308,21.5878571807939,21.5397993904406,34.8808447939263,13.1835865508358,22.0630397686271,33.4145964261681,27.3906616508851,2.73276207998856,21.3541500200251
"Euneomys mordax",11.2936152510675,16.3708401902934,4.96663852300725,4.95602527992393,2.67339612257316,7.7417296663727,0.439310415300289,4.20141297537199,3.0919887088798,15.486203065087,18.081227196674,18.1248179874621,15.4899742903468,3.91834353926832,18.0502189978404,14.0006116863912,14.9951642701785,1.58168352346489,14.1677778164025,15.5381629891406,14.9329538180703,17.5577312754238,0,5.28323736175768,5.69874842289565,5.01405021479629,5.57425668580646,6.5528020490715,1.36498454039363,4.03494360964483,3.9912961631004,17.3880087391823,4.90949979709805,4.51061937640559,15.9496821382265,9.95591515376347,14.9435315694185,3.8048295072277
"Geoxus valdivianus",16.5353507138293,11.3987676035707,0.602872630539713,0.687535293995427,2.65766161772686,2.53527513253838,5.21609718040974,1.08754343135637,2.43639271998852,20.7177712643969,23.2533340554981,23.2963841440239,20.7231745218954,1.37998614403378,23.2237921542485,19.2371159016568,10.0309896906151,3.73527667115209,19.4169270538297,20.7632569347606,9.835045788534,12.721922668863,5.28323736175768,0,0.425838540138258,0.399633467431653,10.7173506470712,1.30632949836129,4.29230842519847,9.13289107872967,9.07064278693545,22.566971380016,0.464813189156738,9.59655310821423,21.153719886579,15.1992314887679,10.0182893737965,8.89157993326981
"Irenomys tarsalis",16.9383847632547,11.0616002891864,0.961366509027729,0.917023096749086,3.0593870154726,2.11070550893542,5.62288863473107,1.49768939667851,2.80488479233473,21.1182646242601,23.6444600870778,23.6874270791773,21.1239429055916,1.78522687907295,23.6151252437251,19.6387030630445,9.69804962701188,4.14372388140027,19.8207590048136,21.16267457125,9.47653193695684,12.4051918199694,5.69874842289565,0.425838540138258,0,0.791732856104088,11.1116710040126,0.953233399146844,4.68326765080918,9.5259887115571,9.46246427055568,22.9591883312515,0.813507027089459,9.98773528751393,21.5498148472276,15.6028674834968,9.69241811035883,9.28438003081753
"Loxodontomys micropus",16.2921613563541,11.5423213049355,0.218775718458861,0.876334060655942,2.44262069913647,2.89172538190136,4.97301432727605,0.893672823173136,2.29888918334002,20.4795231576091,23.0345489209063,23.0777594057635,20.4843051104575,1.18546992246501,23.0045946098479,18.9966611449061,10.1700830167761,3.49312414948435,19.171206101307,20.5274046815459,10.0112642372208,12.8365417856826,5.01405021479629,0.399633467431653,0.791732856104088,0,10.4961707067475,1.53902828032781,4.0905414976653,8.91566697490151,8.85616705724459,22.346088509434,0.563523531640664,9.38288580343731,20.9250129275097,14.9550030722782,10.1477662326988,8.67523789459643
"Mus musculus",5.87569995724919,21.9423405288319,10.4764697826197,10.2773108690648,8.06136631639763,13.0330815377991,5.53573032337273,9.63310108810615,8.32771093994703,10.0222433371043,12.5383958788987,12.5815962434473,10.0295718910428,9.33850322960724,12.5084883368645,8.55218309909371,20.5663493726701,7.0063350267318,8.7550701538457,10.0610090524484,20.4837867717903,23.1304236389518,5.57425668580646,10.7173506470712,11.1116710040126,10.4961707067475,0,12.0178479331708,6.42875210930393,1.58694425675205,1.65513688221443,11.8504667278705,10.2997103141403,1.13958472265793,10.438795200025,4.55989697175048,20.5168087860291,1.82896219900413
"Myocastor coypus",17.8258543056876,10.1091875017513,1.60951651572386,1.86869188257789,3.9564877534075,1.59381943505148,6.50502692715915,2.38490351319753,3.74048492741042,22.0112932597133,24.5552461854524,24.5983469474384,22.0163533308468,2.67992455082733,24.5255744297019,20.5293488844742,8.74506466529993,5.0237486900222,20.7059442290868,22.0580576953864,8.53175184202205,11.4525928781914,6.5528020490715,1.30632949836129,0.953233399146844,1.53902828032781,12.0178479331708,0,5.59632829016931,10.434475709181,10.3730219241154,23.8681895929618,1.75086057758078,10.8992231799754,22.4519122528063,16.4890295369604,8.73919776122472,10.1933949896421
"Octodon bridgesi",12.2685605492735,15.6165543717268,4.09258605097613,3.85569369448312,1.64843745191855,6.63176961165569,1.0713274144589,3.21292951174122,1.91060589642435,16.4413152129511,18.9617524337919,19.0047599529306,16.447523547452,2.91731607978833,18.9323230071259,14.9642825326447,14.2418101619512,0.746791239272458,15.1523628521249,16.4838715549081,14.1015633039008,16.8759227006308,1.36498454039363,4.29230842519847,4.68326765080918,4.0905414976653,6.42875210930393,5.59632829016931,0,4.84276625666361,4.77928511995302,18.2760761438971,3.87099505887471,5.30479242952756,16.8673934266804,10.9355946445483,14.2101853691665,4.60112427330234
"Octodon degus",7.45323095014688,20.3833371228884,8.89959036373316,8.69036824421989,6.47819498319054,11.4472877779591,3.96734537636759,8.04957308682493,6.74076853467925,11.6080835073371,14.1207712702616,14.1638714730752,11.6151842018691,7.75469187333521,14.0911181251517,10.1362907793385,19.0071263772717,5.4297772438395,10.3352813474327,11.6475372769663,18.9113407391984,21.5878571807939,4.03494360964483,9.13289107872967,9.5259887115571,8.91566697490151,1.58694425675205,10.434475709181,4.84276625666361,0,0.0954343263295532,13.4340804358811,8.71374086837028,0.475676625190275,12.0254249628231,6.12997439962642,18.9615133264605,0.242045691267456
"Octodon lunatus",7.52653971271138,20.331185708555,8.84194251975163,8.62395668948743,6.41726124476223,11.3779734414258,3.91472274712289,7.9881790717904,6.67444545820967,11.6773794373124,14.1827046298293,14.2257467208938,11.6847028089617,7.69310333235467,14.153198809936,10.2069235757,18.9549651242841,5.37293877290254,10.4077891673176,11.7159510527094,18.8549384176942,21.5397993904406,3.9912961631004,9.07064278693545,9.46246427055568,8.85616705724459,1.65513688221443,10.3730219241154,4.77928511995302,0.0954343263295532,0,13.4967917763118,8.64988712170911,0.526866051565398,12.0911364348658,6.20506575611737,18.9104294153351,0.18662816767133
"Octodontomys gliroides",6.18475040047801,33.7445191086881,22.3235651447055,22.115173082067,19.911709286612,24.8495450215377,17.3793123720864,21.4833518808456,20.1669958706121,2.18080418317257,0.702206247469054,0.746693056786462,2.19869050022281,21.1886102342044,0.667676329020436,3.56351797639966,32.3706250282852,18.8545873791751,3.54156226215019,2.06076904500831,32.3203106990569,34.8808447939263,17.3880087391823,22.566971380016,22.9591883312515,22.346088509434,11.8504667278705,23.8681895929618,18.2760761438971,13.4340804358811,13.4967917763118,0,22.1464542374483,12.9714682883528,1.5077810243497,7.49720589483593,32.3102773366632,13.6754195875701
"Oligoryzomys longicaudatus",16.1304785841227,11.8552162589501,0.764137657184699,0.318905211956649,2.25450883648973,2.84437414421648,4.82010884346956,0.721618320871853,1.99260847524725,20.3086464548326,22.8315061493195,22.8744580835086,20.3144790163546,0.992037408407727,22.8022093706095,18.8297580168414,10.4886569592812,3.34432981358614,19.0133274055534,20.3524874503693,10.2824119649247,13.1835865508358,4.90949979709805,0.464813189156738,0.813507027089459,0.563523531640664,10.2997103141403,1.75086057758078,3.87099505887471,8.71374086837028,8.64988712170911,22.1464542374483,0,9.17499087785423,20.7381991686577,14.7954559759321,10.4778559596441,8.4720630058678
"Phyllotis darwini",7.01528170929058,20.8568491501037,9.36880854412006,9.14718745107215,6.94369373086584,11.8979627586777,4.44042818120728,8.51443646593944,7.19787939565963,11.1585431411306,13.6569645304269,13.6999783907685,11.1661869455007,8.21929943227737,13.6275312114239,9.69023691349391,19.4806300900311,5.89975945569599,9.89445018784754,11.1959132671734,19.3817516711073,22.0630397686271,4.51061937640559,9.59655310821423,9.98773528751393,9.38288580343731,1.13958472265793,10.8992231799754,5.30479242952756,0.475676625190275,0.526866051565398,12.9714682883528,9.17499087785423,0,11.5680833630339,5.69838412790628,19.4355767048672,0.710139839875435
"Phyllotis magister",4.70045228413954,32.2910216633459,20.8974935597666,20.7150651635399,18.4964408442128,23.4624427699389,15.953418715486,20.0681612614521,18.7655802243161,0.754529552184175,2.20606088077536,2.25056923728385,0.78485031841641,19.7741233995381,2.16946894939113,2.05584878773411,30.9182317012757,17.4319350238625,2.04516586682275,0.604136953894823,30.8818336240538,33.4145964261681,15.9496821382265,21.153719886579,21.5498148472276,20.9250129275097,10.438795200025,22.4519122528063,16.8673934266804,12.0254249628231,12.0911364348658,1.5077810243497,20.7381991686577,11.5680833630339,0,6.0239378579444,30.8547154300745,12.2673269542057
"Phyllotis xanthopygus",1.3377023458968,26.2718137366164,14.9180842673013,14.7912405510852,12.5435428940213,17.5628160701285,9.98424283791645,14.1117253578126,12.8446930832213,5.53165462430456,8.19810773282587,8.24238757566079,5.53480474801147,13.8198358312687,8.16459012433837,4.04497560734472,24.8999292935234,11.4656657875421,4.21790053854181,5.58761822269956,24.8773098629221,27.3906616508851,9.95591515376347,15.1992314887679,15.6028674834968,14.9550030722782,4.55989697175048,16.4890295369604,10.9355946445483,6.12997439962642,6.20506575611737,7.49720589483593,14.7954559759321,5.69838412790628,6.0239378579444,0,24.834306262795,6.37062643611143
"Reithrodon auritus",26.1667996547418,1.44507838028349,10.1235698201155,10.6069675683788,12.5676684347017,8.35669617947054,14.9960163614106,11.0410920249786,12.440971253345,30.3575612580364,33.0067075039007,33.0505522893389,30.3585892677722,11.3330714741158,32.9748877640221,28.8695698783757,0.258423398733678,13.554907506442,29.0103238985563,30.4193061022438,1.27666086841332,2.73276207998856,14.9435315694185,10.0182893737965,9.69241811035883,10.1477662326988,20.5168087860291,8.73919776122472,14.2101853691665,18.9615133264605,18.9104294153351,32.3102773366632,10.4778559596441,19.4355767048672,30.8547154300745,24.834306262795,0,18.7256168438428
"Spalacopus cyanus",7.69451835399436,20.1467399173935,8.65992893855004,8.44836206500421,6.23724058505515,11.2053155571704,3.73029780956478,7.80849424843087,6.49876330653738,11.8500890396768,14.3619009477146,14.4049844644234,11.8571734672122,7.51355303735241,14.3322896893809,10.3781597730765,18.7705202427659,5.19043942135279,10.5767717833499,11.8895799739823,18.6723133764772,21.3541500200251,3.8048295072277,8.89157993326981,9.28438003081753,8.67523789459643,1.82896219900413,10.1933949896421,4.60112427330234,0.242045691267456,0.18662816767133,13.6754195875701,8.4720630058678,0.710139839875435,12.2673269542057,6.37062643611143,18.7256168438428,0
