"","Ctenomys maulinus","Reithrodon auritus","Loxodontomys micropus","Akodon albiventer","Ctenomys opimus","Auliscomys boliviensis","Abrothrix olivaceus","Abrothrix manni","Abrothrix lanosus","Octodon lunatus","Auliscomys sublimis","Octodon bridgesi","Phyllotis magister","Spalacopus cyanus","Euneomys chinchilloides","Euneomys mordax","Chinchillula sahamae","Octodontomys gliroides","Chelemys macronyx","Abrothrix sanborni","Loxodontomys pikumche","Octodon degus","Oligoryzomys longicaudatus","Abrocoma bennettii","Abrothrix andinus","Phyllotis xanthopygus","Geoxus valdivianus","Lagidium viscacia","Phyllotis osgoodi","Abrothrix longipilis","Mus musculus","Abrocoma cinerea","Eligmodontia puerulus","Aconaemys fuscus","Ctenomys fulvus","Aconaemys sagei","Aconaemys porteri","Irenomys tarsalis","Ctenomys magellanicus","Phyllotis darwini","Andinomys edax","Eligmodontia typus","Myocastor coypus"
"Auliscomys sublimis",0,0,0,0.813187117758394,0.860883937301215,0.871191348370372,0,0,0,0,1,0,0.348814023475509,0,0,0,0.894048602263475,0.593181695864603,0,0,0,0,0,0,0.268721500158693,0.231353697445277,0,0.258310370053063,0.620707342946345,0,0.0437072042089258,0.830311408545905,0.62501138244129,0,0.24973314590532,0,0,0,0,0,0.883757987104949,0,0
"Octodon bridgesi",0.922279765837833,0,0.402237689413682,0,0,0,0.205348635466001,0.0873717288959181,0,0,0,1,0,0.155762087644243,0,0.543088680436718,0,0,0.498133617480349,0,0.595047456030082,0.103115411045743,0.220845896169994,0.0344400096904467,0.0380538618091584,0.0692967687841482,0.408342307623499,0.077575055095094,0,0.316023434496522,0.225898816468084,0,0,0.863131470818013,0,0.629089006265278,0.342293554267806,0.267389756078012,0,0.268827651408566,0,0,0.226576706372964
"Phyllotis magister",0,0,0,0.289879829961988,0.0335397206034643,0.367847746942066,0.000396741048213946,0,0,0,0.242157396042716,0,0.999999999999986,0,0,0,0.376483885394286,0.423495862823453,0,0,0,0,0,0,0.170214566895239,0.146849006086882,0,0.142065402134508,0.468244528831177,0,0.0473214981959687,0.296434809074965,0.287309451274967,0,0.167564956797822,0,0,0,0,0,0.403632594373474,0,0
"Spalacopus cyanus",0,0,0.117042553439673,0,0,0,0.146849183177311,0,0,0.999999939699571,0,0.112890106647733,0,1,0,0.149642544974614,0,0,0.0139005516527092,0,0.542644235044796,0.86000959498573,0.156849006862028,0.478929549643293,0.0917334345766551,0.085876671009871,0.0236680481611247,0.0775375115454401,0,0.179457166065777,0.164860826313917,0,0,0,0,0,0,0.00547519358428152,0,0.519207033306612,0,0,0.14091247789709
"Euneomys chinchilloides",0,0.33060321893353,1.10566134573742e-06,0,0,0,5.14173798763794e-07,0,0.437660963954365,0,0,0,0,0,0.999999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632581882923248,0,0,0,0,0,0,0,0,0.3215619439368,0,0,0,0.0137164752753464
"Euneomys mordax",0.27018880444435,0,0.0797491826948203,0,0,0,0.0357040939434423,0.0282764391285449,0,0,0,0.108062537642399,0,0.0410833048958056,0,0.999999999999989,0,0,0.107044298509287,0,0.123572278908746,0.00266948732523554,0.0264666364818324,0.0449783415740007,0.0567901702748715,0.111133438787254,0.0356016245943983,0.114046477213015,0,0.0628900741540833,0.0431923982638561,0,0,0.287713659105709,0,0.0558621734630426,0.148701593173883,0.0494023940145327,0,0,0,0,0.00803031264159588
"Chinchillula sahamae",0,0,0,0.167898420927029,0.104614761583749,0.984805138328253,0,0,0,0,0.177446257697499,0,0.107633709143898,0,0,0,1.00000000000002,0.279698295809938,0,0,0,0,0,0,0.0533344881310676,0.0459179151023899,0,0.0512681395332748,0.621819601046643,0,0.0135288350197097,0.162963692151018,0.125904578376102,0,0,0,0,0,0,0,0.979472555751171,0,0
"Octodontomys gliroides",0,0,0,0.441561554655744,0.371846568557851,0.991589161094749,0.00697501085336178,0,0,0,0.417860076115303,0,0.429722910473298,0,0,0,0.992721075188126,1,0,0,0,0,0,0,0.147767068925635,0.12302132533175,0,0.136058887968162,0.995967961335976,0,0.0480026696274922,0.382625918155054,0.387912038107704,0,0.00258303663581134,0,0,0,0,0,0.992248545132386,0,0
"Chelemys macronyx",0.98324107742456,0.233009264869688,0.577492624343449,0,0,0,0.325885252499477,0.655486007991579,0.0854746794095464,0,0,0.799280962886845,0,0.0307745370970655,0,0.863202613796422,0,0,1,0.0849344264702346,0.336433151869395,0.0112079480662438,0.345733219309806,0.0392790854938806,0.0510304371984506,0.127996809972386,0.694014690344082,0.129378771293718,0,0.5023047660141,0.272787925683206,0,0,0.863629659021406,0,0.999957693488352,1,0.612334140917698,0.234922208443235,0.119551416159572,0,0.903330628435568,0.376492517431263
"Abrothrix sanborni",0,0.00616394081337229,0.0131053436188698,0,0,0,0.000843630582791763,0,0,0,0,0,0,0,0,0,0,0,0.00256004461357618,0.999999999999993,0,0,0.0108558851677324,0,0,0,0.018314440530687,0,0,0.00129831132932576,0.0100668304912409,0,0,0,0,0,0,0.0342105206619045,0.0046551059453896,0,0,0,0.0124031411619826
"Loxodontomys pikumche",0.156473702465567,0,0.193803448690846,0,0,0,0.101652316184341,0,0,0.179935229107263,0,0.297560549479526,0,0.374407740431322,0,0.310556335989093,0,0,0.104850116226949,0,1,0.367950958772656,0.104080421674186,0.149305974829261,0.098135358106638,0.102268882832462,0.0597853322816066,0.0593990598111401,0,0.158052527410275,0.11374887194251,0,0,0.5143958610141,0,0,0,0,0,0.267266217626739,0,0,0.0916758951397511
"Octodon degus",0,0,0.0749639321478689,0,0,0,0.118804094485551,0,0,0.99623729935961,0,0.0622023296533581,0,0.715800909431397,0,0.008092943816361,0,0,0.00421362193210745,0,0.44386332580842,1,0.135294210170114,0.418266314733782,0.0481363985004678,0.040095938460513,0,0.0233304990369224,0,0.14440738065352,0.137216526625784,0,0,0.0131023271142555,0,0,0,0,0,0.467890072482597,0,0,0.129233854437578
"Oligoryzomys longicaudatus",0.96387467119702,0.331262967750839,0.904197308610179,0,0,0,0.786950058183433,0.998523291171996,0.325247391193692,0.999983112054228,0,0.983817437564395,0,0.964079463101255,0,0.592542525041158,0,0,0.959870567954845,0.999937902741822,0.927193709053678,0.999128439047353,1,0.70876231110274,0.0870768194595359,0.153499674687399,0.962416776196341,0.186257280395137,0,0.83882348812447,0.566053791221076,0,0,0.916917279981961,0,0.999986809915897,1,0.999755789482389,0.350225792405504,0.904995001803038,0,0.76250894171638,0.896764604915322
