Parasite,Rodent
Tetrapsyllus rhombus,Aconaemys porteri
Tetrapsyllus rhombus,Rattus norvegicus
Tetrapsyllus rhombus,Ctenomys maulinus
Tetrapsyllus satyrus,Aconaemys fuscus
Tetrapsyllus satyrus,Aconaemys porteri
Tetrapsyllus satyrus,Chelemys macronyx
Tetrapsyllus satyrus,Geoxus valdivianus
Tetrapsyllus simulans,Abrothrix longipilis
Tetrapsyllus simulans,Oligoryzomys longicaudatus
Tetrapsyllus simulans,Phyllotis darwini
Tetrapsyllus tantillus,Abrothrix olivaceus
Tetrapsyllus tantillus,Phyllotis darwini
Tetrapsyllus tantillus,Octodon degus
Tetrapsyllus tantillus,Abrothrix longipilis
Tetrapsyllus tantillus,Euneomys mordax
Tetrapsyllus tantillus,Reithrodon auritus
Tetrapsyllus tantillus,Loxodontomys micropus
Tetrapsyllus tantillus,Phyllotis xanthopygus
Tetrapsyllus tantillus,Spalacopus cyanus
Tetrapsyllus tantillus,Ctenomys magellanicus
Tiamastus callens,Ctenomys maulinus
Tiamastus gallardoi,Abrothrix olivaceus
Tiamastus gallardoi,Ctenomys colburni
Tiamastus plesius,Ctenomys fulvus
Tunga bonneti,Phyllotis darwini
Tunga bonneti,Rattus rattus
Tunga bonneti,Phyllotis xanthopygus
Tunga libis,Phyllotis darwini
Tunga penetrans,Rattus norvegicus
Xenopsylla astia,Rattus norvegicus
Xenopsylla cheopis,Rattus rattus
Xenopsylla cheopis,Rattus norvegicus
